cmpt_id,cmpt_name,cmpt_version,app_id,app_name,app_version,license,status,requester,description,monitoring_id,monitoring_digest,issue_count
00008400,cmpt_8400,60.38.39,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008400,na,0
00008401,cmpt_8401,74.77.100,00008400,cmpt_8400,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8400,00008401,na,0
00008402,cmpt_8402,19.17.96,00008401,cmpt_8401,74.77.100,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8401,00008402,na,0
00008403,cmpt_8403,94.71.76,00008402,cmpt_8402,19.17.96,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8402,00008403,na,0
00008404,cmpt_8404,53.21.64,00008403,cmpt_8403,94.71.76,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8403,00008404,na,0
00008405,cmpt_8405,40.73.76,00008404,cmpt_8404,53.21.64,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8404,00008405,na,0
00008406,cmpt_8406,1.21.71,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008406,na,0
00008407,cmpt_8407,47.99.27,00008406,cmpt_8406,1.21.71,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8406,00008407,na,0
00008408,cmpt_8408,77.3.97,00008407,cmpt_8407,47.99.27,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8407,00008408,na,0
00008409,cmpt_8409,46.78.90,00008408,cmpt_8408,77.3.97,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8408,00008409,na,0
00008410,cmpt_8410,8.23.73,00008409,cmpt_8409,46.78.90,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8409,00008410,na,0
00008411,cmpt_8411,80.72.40,00008410,cmpt_8410,8.23.73,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8410,00008411,na,0
00008412,cmpt_8412,3.27.81,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008412,na,0
00008413,cmpt_8413,70.3.60,00008412,cmpt_8412,3.27.81,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8412,00008413,na,0
00008414,cmpt_8414,76.52.94,00008413,cmpt_8413,70.3.60,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8413,00008414,na,0
00008415,cmpt_8415,19.71.65,00008414,cmpt_8414,76.52.94,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8414,00008415,na,0
00008416,cmpt_8416,81.1.35,00008415,cmpt_8415,19.71.65,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8415,00008416,na,0
00008417,cmpt_8417,29.89.79,00008416,cmpt_8416,81.1.35,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8416,00008417,na,0
00008418,cmpt_8418,18.89.97,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008418,na,0
00008419,cmpt_8419,72.36.39,00008418,cmpt_8418,18.89.97,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8418,00008419,na,0
00008420,cmpt_8420,44.76.4,00008419,cmpt_8419,72.36.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8419,00008420,na,0
00008421,cmpt_8421,85.11.70,00008420,cmpt_8420,44.76.4,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8420,00008421,na,0
00008422,cmpt_8422,59.44.38,00008421,cmpt_8421,85.11.70,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8421,00008422,na,0
00008423,cmpt_8423,85.92.91,00008422,cmpt_8422,59.44.38,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8422,00008423,na,0
00008424,cmpt_8424,74.41.68,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008424,na,0
00008425,cmpt_8425,71.52.20,00008424,cmpt_8424,74.41.68,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8424,00008425,na,0
00008426,cmpt_8426,88.66.33,00008425,cmpt_8425,71.52.20,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8425,00008426,na,0
00008427,cmpt_8427,86.47.60,00008426,cmpt_8426,88.66.33,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8426,00008427,na,0
00008428,cmpt_8428,61.92.43,00008427,cmpt_8427,86.47.60,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8427,00008428,na,0
00008429,cmpt_8429,15.55.16,00008428,cmpt_8428,61.92.43,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8428,00008429,na,0
00008430,cmpt_8430,86.11.48,00000021,cmpt_21,60.38.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_21,00008430,na,0
